object_id,lmax,error
7952,8,4.226511826981241
7952,12,3.2458199461318005
7952,16,2.772002269007075
7952,20,2.4761588235887455
7952,24,2.238069538928152
7952,28,2.072776552678285
7952,32,1.9285783920099149
7952,36,1.8607225545005623
1692,4,7.0750274567416005
1692,8,4.290041256641849
1692,12,3.2848126005304192
1692,16,2.7683134799461286
1692,20,2.4617671990014682
1692,24,2.2396107991291854
1692,28,2.060653229202281
1692,32,1.9524223255495343
1692,36,1.8008371986601024
474,4,7.01298784778726
474,8,4.571501925490425
474,12,3.5285422264175508
474,16,2.9335627730027873
474,20,2.58094746384072
474,24,2.3414796123524733
474,28,2.177140629514639
474,32,2.052886635554327
474,36,1.9418962085759648
326,4,6.913868630526115
326,8,4.244612358372724
326,12,3.2217814544230037
326,16,2.781124642249156
326,20,2.459490464191116
326,24,2.2619352318329886
326,28,2.1197902426721047
326,32,1.9757076611335354
326,36,1.879286532898529
6846,4,5.806032185214493
6846,8,3.82142598685654
6846,12,3.0321766717044136
6846,16,2.6055883131268884
6846,20,2.3194605687699497
6846,24,2.1159793987129945
6846,28,1.9933578364702946
6846,32,1.85875630517167
6846,36,1.7642275265113958
2964,4,6.278990239064542
2964,8,3.956790135846974
2964,12,3.0930425870509395
2964,16,2.6109592556728236
2964,20,2.2834389291898085
2964,24,2.1605201100370195
2964,28,1.9775343513604047
2964,32,1.8861972174148387
2964,36,1.7836357084836094
8804,4,6.938264141642994
8804,8,4.295584944390605
8804,12,3.291048252125897
8804,16,2.81115417412299
8804,20,2.508076902926799
8804,24,2.2398597105722837
8804,28,2.0971864990280107
8804,32,1.92797358683944
8804,36,1.842677080857833
7643,4,7.84678296342601
7643,8,4.8304931627330365
7643,12,3.703104389086133
7643,16,3.099138649524736
7643,20,2.7576143736547936
7643,24,2.51106636547398
7643,28,2.311708761849747
7643,32,2.1660974587622452
7643,36,2.0691391024971817
7842,4,7.078319914096346
7842,8,4.195271538431548
7842,12,3.2585792901277064
7842,16,2.6692122983884166
7842,20,2.4428468114989137
7842,24,2.1854876383863067
7842,28,2.0430198304681686
7842,32,1.9458901011570795
7842,36,1.8535035462806948
4740,4,6.962321531784387
4740,8,4.376037375895072
4740,12,3.3646024943282784
4740,16,2.79547103868482
4740,20,2.5142809081367186
4740,24,2.2545095296226054
4740,28,2.0987377426280207
4740,32,1.9937214807906962
4740,36,1.8937562779668824
8000,4,7.0960037846857995
8000,8,4.321003959819346
8000,12,3.34608583492185
8000,16,2.828102723832432
8000,20,2.5049273429010497
8000,24,2.2955973788839588
8000,28,2.1254317772317135
8000,32,2.0126363151307625
8000,36,1.889172505994704
1248,4,10.070997528424703
1248,8,5.751399045966777
1248,12,4.263073492024464
1248,16,3.5222145808702523
1248,20,3.088797908075965
1248,24,2.769090813763628
1248,28,2.497532964383376
1248,32,2.3417926527738415
1248,36,2.208888978944989
9361,4,6.787968554547495
9361,8,4.201137441827178
9361,12,3.242273316542299
9361,16,2.759590621109354
9361,20,2.327545401531438
9361,24,2.232157763668278
9361,28,2.1208402443439756
9361,32,1.9769610888416036
9361,36,1.8639240092602927
5672,4,8.29011799871834
5672,8,4.964986556655327
5672,12,3.8183714109744478
5672,16,3.1996745104178994
5672,20,2.7913644119811467
5672,24,2.5280324781444117
5672,28,2.334713542996167
5672,32,2.193032525389848
5672,36,2.0785298639954144
2251,4,6.889706767895271
2251,8,4.2067347000345725
2251,12,3.311690114240299
2251,16,2.7321506971677216
2251,20,2.4179301275074283
2251,24,2.254387805280431
2251,28,2.0830277192138853
2251,32,1.9254533811877819
2251,36,1.8465204437416598
5248,4,7.436084318748554
5248,8,4.538631922928782
5248,12,3.503380929032429
5248,16,2.9506877007425745
5248,20,2.6219513160982637
5248,24,2.3416885759951627
5248,28,2.1649194795582236
5248,32,2.0516049315525247
5248,36,1.9535592475265722
4983,4,6.2697941803021395
4983,8,3.959791748663094
4983,12,3.0684865968123867
4983,16,2.7707140689174783
4983,20,2.364071982051465
4983,24,2.1080495519000975
4983,28,2.0109181655576833
4983,32,1.8538752736052229
4983,36,1.7600663894049429
605,4,9.958048919553432
605,8,5.81611630622948
605,12,4.307993238229003
605,16,3.568504029817252
605,20,3.1052996035289864
605,24,2.7787852607961296
605,28,2.587994146097403
605,32,2.4044606526067667
605,36,2.2756963536296944
89,4,6.619454342792181
89,8,4.215591497960893
89,12,3.278539621976277
89,16,2.704075372924896
89,20,2.4408778527428003
89,24,2.2590275195514185
89,28,2.09939162787713
89,32,1.9503380975800562
89,36,1.8580144567679397
3807,4,5.923471535979874
3807,8,3.9652344701338182
3807,12,3.051314824468239
